APPLICATION_NUMBER,APPLICATION_DATE,CUSTOMER_TYPE,CALCULATION_TYPE,CUSTOMER_DOB,CUSTOMER_AGE,CO_APPLICANT_DOB,CO_APPLICANT_AGE,FINANCE_AMOUNT,TENURE_IN_MONTH,TENURE_IN_YEAR,PARTIAL_FINANCE_AMOUNT,PARTIAL_TENURE,PREMIUM,CREATED_ON
8800251836,2025-07-10,CUSTOMER,FULL,1995-07-20,29,NULL,0,492000,36,3,0,0,4564,"2025-07-10 12:54:45"
25158767034,2025-07-07,CUSTOMER,FULL,1991-05-02,34,NULL,-1,560000,60,5,0,0,8908,"2025-07-10 12:54:29"
25158817659,2025-07-10,CUSTOMER,FULL,1994-06-19,31,NULL,0,1900000,84,7,0,0,33137,"2025-07-10 12:54:24"
25158755499,2025-07-07,CUSTOMER,FULL,1997-01-01,28,1970-01-01,55,570000,60,5,0,0,7325,"2025-07-10 12:53:58"
25158819461,2025-07-10,CUSTOMER,FULL,1994-01-18,31,NULL,0,500000,50,5,0,0,6968,"2025-07-10 12:53:55"
8800363923,2025-07-08,CUSTOMER,FULL,1991-10-19,33,1986-11-12,38,440000,60,5,0,0,6662,"2025-07-10 12:53:48"
25158760782,2025-07-07,CUSTOMER,FULL,1995-09-10,29,NULL,-1,1040000,60,5,0,0,12260,"2025-07-10 12:53:32"
25158796211,2025-07-09,CUSTOMER,FULL,1981-08-28,43,NULL,-1,445000,60,5,0,0,13265,"2025-07-10 12:53:32"
25157582841,2025-06-19,CUSTOMER,FULL,2003-06-10,22,2001-08-15,23,600000,60,5,0,0,7491,"2025-07-10 12:53:21"
8800434126,2025-07-10,CUSTOMER,FULL,1996-01-01,29,NULL,0,700000,48,4,0,0,7707,"2025-07-10 12:53:14"
25158775260,2025-07-08,CUSTOMER,FULL,1994-05-08,31,1990-12-30,34,169000,36,3,0,0,1544,"2025-07-10 12:52:58"
25158819066,2025-07-10,CUSTOMER,FULL,2002-12-19,22,NULL,0,550000,48,4,0,0,5854,"2025-07-10 12:52:57"
