APPLICATION_NUMBER,APPLICATION_DATE,CUSTOMER_TYPE,CALCULATION_TYPE,CUSTOMER_DOB,CUSTOMER_AGE,CO_APPLICANT_DOB,CO_APPLICANT_AGE,FINANCE_AMOUNT,TENURE_IN_MONTH,TENURE_IN_YEAR,PARTIAL_FINANCE_AMOUNT,PARTIAL_TENURE,PREMIUM,CREATED_ON
8800256457,2025-07-03,CUSTOMER,FULL,1986-05-29,39,NULL,0,65000,24,2,0,0,733,"2025-07-03 10:35:58"
8800385751,2025-07-02,CUSTOMER,FULL,1984-05-04,41,1995-07-21,29,495000,42,4,0,0,10082,"2025-07-03 10:35:54"
8800380876,2025-07-03,CUSTOMER,FULL,2000-04-16,25,NULL,0,574000,60,5,0,0,7167,"2025-07-03 10:35:47"
25158280866,2025-07-03,CUSTOMER,FULL,1984-11-24,40,NULL,0,200000,36,3,0,0,3125,"2025-07-03 10:35:46"
25158280287,2025-07-03,CUSTOMER,FULL,2000-08-03,24,NULL,0,260000,36,3,0,0,2124,"2025-07-03 10:35:19"
25157681461,2025-06-27,CUSTOMER,FULL,1999-02-01,26,1959-01-01,66,850000,60,5,0,0,9659,"2025-07-03 10:35:03"
8800397976,2025-07-03,CUSTOMER,FULL,1981-01-01,44,NULL,0,230000,48,4,0,0,6126,"2025-07-03 10:34:47"
25158063977,2025-07-02,CUSTOMER,FULL,1973-03-21,52,1978-01-01,47,810000,71,6,0,0,62653,"2025-07-03 10:33:46"
8800283384,2025-07-03,CUSTOMER,FULL,1997-07-20,27,NULL,0,340000,36,3,0,0,3005,"2025-07-03 10:32:44"
25157873138,2025-06-29,CUSTOMER,FULL,1974-01-01,51,NULL,-1,365000,36,3,0,0,15906,"2025-07-03 10:32:40"
25158280394,2025-07-03,CUSTOMER,FULL,2003-05-02,22,NULL,0,444000,59,5,0,0,5544,"2025-07-03 10:31:36"
25158280560,2025-07-03,CUSTOMER,FULL,1993-01-01,32,1965-01-01,60,600000,59,5,0,0,8695,"2025-07-03 10:31:25"
8800259078,2025-06-26,CUSTOMER,FULL,1994-06-17,31,1998-03-31,27,500000,60,5,0,0,6968,"2025-07-03 10:31:18"
8800252628,2025-07-03,CUSTOMER,FULL,1992-07-24,32,1999-09-24,25,1316000,60,5,0,0,16585,"2025-07-03 10:31:01"
8800276579,2025-07-03,CUSTOMER,FULL,1975-08-02,49,NULL,0,1200000,20,2,0,0,25954,"2025-07-03 10:30:49"
25158280309,2025-07-03,CUSTOMER,FULL,1997-02-27,28,NULL,0,190000,47,4,0,0,2052,"2025-07-03 10:30:33"
8800228933,2025-07-02,CUSTOMER,FULL,1981-01-01,44,NULL,-1,930000,48,4,0,0,22080,"2025-07-03 10:30:25"
8800303495,2025-06-27,CUSTOMER,FULL,1991-10-15,33,NULL,-1,800000,54,5,0,0,12112,"2025-07-03 10:30:03"
8800151464,2025-07-03,CUSTOMER,FULL,1992-01-12,33,1995-01-01,30,1000000,60,5,0,0,13028,"2025-07-03 10:29:55"
8800297364,2025-07-02,CUSTOMER,FULL,1980-08-05,44,NULL,-1,170000,29,3,0,0,3669,"2025-07-03 10:29:32"
25157955430,2025-07-03,CUSTOMER,FULL,1988-06-02,37,NULL,0,350000,35,3,0,0,4473,"2025-07-03 10:29:06"
25158280352,2025-07-03,CUSTOMER,FULL,1990-04-20,35,NULL,0,1700000,83,7,0,0,34584,"2025-07-03 10:28:18"
25158280392,2025-07-03,CUSTOMER,FULL,2003-02-06,22,1998-11-12,26,315000,48,4,0,0,2926,"2025-07-03 10:27:53"
25157919774,2025-06-30,CUSTOMER,FULL,1977-01-01,48,NULL,-1,290000,42,4,0,0,11170,"2025-07-03 10:27:51"
25157643042,2025-06-23,CUSTOMER,FULL,1992-06-13,33,1998-11-24,26,481500,72,6,0,0,8512,"2025-07-03 10:27:43"
25157674516,2025-06-26,CUSTOMER,FULL,1995-05-05,30,1974-09-18,50,1009000,60,5,0,0,12109,"2025-07-03 10:27:39"
8800360405,2025-07-03,CUSTOMER,FULL,2000-06-26,25,NULL,0,585000,60,5,0,0,6337,"2025-07-03 10:27:15"
25157635491,2025-06-23,CUSTOMER,FULL,1992-07-01,32,1973-01-01,52,490000,36,3,0,0,4863,"2025-07-03 10:26:53"
25157955101,2025-07-01,CUSTOMER,FULL,1973-01-10,52,NULL,-1,310000,36,3,0,0,13901,"2025-07-03 10:26:49"
8800179735,2025-07-03,CUSTOMER,FULL,1997-10-25,27,NULL,0,392000,36,3,0,0,3530,"2025-07-03 10:26:45"
25157581218,2025-06-19,CUSTOMER,FULL,1988-01-01,37,1997-05-06,28,670000,60,5,0,0,12690,"2025-07-03 10:26:25"
25158110524,2025-07-02,CUSTOMER,FULL,2005-07-18,19,1981-03-17,44,1450000,84,7,0,0,20310,"2025-07-03 10:26:24"
8800198997,2025-07-02,CUSTOMER,FULL,1985-10-06,39,NULL,-1,250000,36,3,0,0,3608,"2025-07-03 10:25:55"
8800380128,2025-07-02,CUSTOMER,FULL,1997-03-12,28,1993-02-07,32,1600000,60,5,0,0,20051,"2025-07-03 10:25:26"
25157932138,2025-06-30,CUSTOMER,FULL,1983-12-23,41,NULL,-1,660000,36,3,0,0,11106,"2025-07-03 10:25:18"
25158279908,2025-07-03,CUSTOMER,FULL,1996-06-22,29,1969-01-01,56,760000,59,5,0,0,8960,"2025-07-03 10:25:16"
25157937336,2025-07-01,CUSTOMER,FULL,1989-06-04,36,1997-01-01,28,737000,48,4,0,0,10950,"2025-07-03 10:25:09"
25158038913,2025-07-02,CUSTOMER,FULL,1971-04-20,54,1976-09-12,48,1056000,84,7,0,0,109332,"2025-07-03 10:24:43"
25157945933,2025-07-01,CUSTOMER,FULL,1986-03-20,39,1996-04-23,29,985000,72,6,0,0,24200,"2025-07-03 10:24:32"
25158082560,2025-07-02,CUSTOMER,FULL,1984-01-01,41,1999-07-10,25,540000,48,4,0,0,11279,"2025-07-03 10:23:51"
25157533565,2025-06-15,CUSTOMER,FULL,1989-01-01,36,NULL,-1,380000,36,3,0,0,4574,"2025-07-03 10:23:49"
8800331064,2025-07-02,CUSTOMER,FULL,1994-08-21,30,NULL,-1,900000,60,5,0,0,12139,"2025-07-03 10:23:49"
25158047239,2025-07-02,CUSTOMER,FULL,1994-10-20,30,1965-01-01,60,832001,72,6,0,0,12646,"2025-07-03 10:23:47"
8800403630,2025-07-03,CUSTOMER,FULL,1984-05-15,41,1991-10-20,33,1850000,48,4,0,0,37679,"2025-07-03 10:23:12"
8800255639,2025-07-03,CUSTOMER,FULL,1979-04-07,46,NULL,0,535000,53,5,0,0,20808,"2025-07-03 10:22:01"
25156701612,2025-06-14,CUSTOMER,FULL,1978-03-03,47,1986-12-07,38,320000,36,3,0,0,9282,"2025-07-03 10:21:25"
25158280043,2025-07-03,CUSTOMER,FULL,1989-01-01,36,1986-01-01,39,800000,60,5,0,0,14236,"2025-07-03 10:20:36"
8800219779,2025-07-02,CUSTOMER,FULL,1988-12-06,36,NULL,-1,285000,30,3,0,0,3390,"2025-07-03 10:19:48"
8800162554,2025-07-02,CUSTOMER,FULL,1988-06-02,37,1990-09-12,34,400000,36,3,0,0,5112,"2025-07-03 10:19:40"
8800289118,2025-06-30,CUSTOMER,FULL,2004-04-11,21,1965-01-01,60,820000,60,5,0,0,8573,"2025-07-03 10:19:14"
25157641608,2025-06-27,CUSTOMER,FULL,2003-12-19,21,1957-05-07,68,1040000,60,5,0,0,12984,"2025-07-03 10:19:03"
25158086576,2025-07-02,CUSTOMER,FULL,2002-07-05,22,NULL,-1,1000000,60,5,0,0,10597,"2025-07-03 10:18:17"
25157934249,2025-07-01,CUSTOMER,FULL,1984-01-01,41,1984-01-01,41,1060000,60,5,0,0,23541,"2025-07-03 10:16:57"
8800280480,2025-06-27,CUSTOMER,FULL,1984-03-12,41,1992-01-23,33,655000,60,5,0,0,15899,"2025-07-03 10:16:18"
8800380303,2025-07-02,CUSTOMER,FULL,2001-12-18,23,1974-12-23,50,485000,48,4,0,0,5163,"2025-07-03 10:15:52"
25158071532,2025-07-02,CUSTOMER,FULL,2001-09-06,23,1999-06-09,26,600000,60,5,0,0,7491,"2025-07-03 10:15:45"
25157631449,2025-06-23,CUSTOMER,FULL,1980-10-17,44,NULL,-1,3200000,58,5,0,0,102104,"2025-07-03 10:15:34"
8800190037,2025-07-01,CUSTOMER,FULL,1984-06-12,41,1994-02-27,31,400000,48,4,0,0,7529,"2025-07-03 10:15:11"
25157515055,2025-06-13,CUSTOMER,FULL,1981-03-17,44,2005-07-18,19,1450000,84,7,0,0,60690,"2025-07-03 10:14:50"
8800171857,2025-07-03,CUSTOMER,FULL,1987-03-05,38,NULL,0,350000,36,3,0,0,4581,"2025-07-03 10:14:24"
8800214184,2025-06-20,CUSTOMER,FULL,1990-07-10,34,1974-01-01,51,160000,18,2,0,0,1311,"2025-07-03 10:14:10"
25158039444,2025-07-02,CUSTOMER,FULL,2001-12-23,23,NULL,-1,800000,48,4,0,0,7486,"2025-07-03 10:13:57"
25157644322,2025-06-24,CUSTOMER,FULL,2002-01-01,23,1998-04-27,27,720000,48,4,0,0,7664,"2025-07-03 10:13:56"
25158041230,2025-07-02,CUSTOMER,FULL,2000-06-12,25,1981-02-15,44,795000,60,5,0,0,8612,"2025-07-03 10:13:52"
25158048992,2025-07-02,CUSTOMER,FULL,1998-10-10,26,1971-11-30,53,80000,18,2,0,0,557,"2025-07-03 10:13:48"
25157624089,2025-06-21,CUSTOMER,FULL,1997-01-01,28,1972-01-01,53,1250000,84,7,0,0,20429,"2025-07-03 10:13:38"
25158070049,2025-07-02,CUSTOMER,FULL,1993-04-16,32,NULL,-1,870000,60,5,0,0,10965,"2025-07-03 10:13:37"
25157814113,2025-06-29,CUSTOMER,FULL,1985-01-01,40,NULL,-1,343000,42,4,0,0,6023,"2025-07-03 10:12:01"
25158280215,2025-07-03,CUSTOMER,FULL,1997-09-01,27,NULL,0,1000000,60,5,0,0,11470,"2025-07-03 10:11:52"
8800267568,2025-06-27,CUSTOMER,FULL,1992-01-01,33,1986-01-01,39,160000,24,2,0,0,1269,"2025-07-03 10:11:19"
8800251096,2025-07-02,CUSTOMER,FULL,1992-11-15,32,NULL,-1,745000,52,5,0,0,10427,"2025-07-03 10:09:58"
25157934407,2025-07-01,CUSTOMER,FULL,1997-01-01,28,NULL,-1,600000,60,5,0,0,7711,"2025-07-03 10:09:42"
25158137391,2025-07-02,CUSTOMER,FULL,2001-07-30,23,1977-05-01,48,940000,60,5,0,0,10028,"2025-07-03 10:08:46"
25158126832,2025-07-02,CUSTOMER,FULL,1995-08-09,29,2002-01-28,23,820000,60,5,0,0,9667,"2025-07-03 10:08:35"
8800222396,2025-07-03,CUSTOMER,FULL,2003-03-18,22,NULL,0,290000,36,3,0,0,2553,"2025-07-03 10:08:15"
25158279702,2025-07-03,CUSTOMER,FULL,1998-04-10,27,NULL,0,210000,24,2,0,0,1505,"2025-07-03 10:08:10"
25158042433,2025-07-02,CUSTOMER,FULL,1998-12-29,26,NULL,-1,500000,36,3,0,0,4455,"2025-07-03 10:07:11"
25157912646,2025-07-02,CUSTOMER,FULL,1984-01-19,41,NULL,-1,700000,36,3,0,0,11721,"2025-07-03 10:06:59"
8800366026,2025-07-02,CUSTOMER,FULL,1988-01-01,37,NULL,-1,872000,48,4,0,0,13768,"2025-07-03 10:06:51"
25158042506,2025-07-02,CUSTOMER,FULL,1983-07-02,42,1966-01-01,59,350000,24,2,0,0,4911,"2025-07-03 10:06:02"
25158106808,2025-07-02,CUSTOMER,FULL,2003-01-01,22,1982-01-01,43,930000,60,5,0,0,11611,"2025-07-03 10:05:52"
25158277177,2025-07-03,CUSTOMER,FULL,1975-01-01,50,1980-07-03,45,650000,60,5,0,0,37376,"2025-07-03 10:05:51"
8800179895,2025-07-03,CUSTOMER,FULL,1987-02-22,38,NULL,0,250000,24,2,0,0,2501,"2025-07-03 10:05:12"
25158276546,2025-07-03,CUSTOMER,FULL,1996-01-01,29,NULL,0,266000,36,3,0,0,2351,"2025-07-03 10:05:03"
25158068839,2025-07-02,CUSTOMER,FULL,1993-07-10,31,1946-01-01,79,570000,60,5,0,0,7944,"2025-07-03 10:04:27"
8800082511,2025-06-23,CUSTOMER,FULL,1989-01-01,36,NULL,-1,620000,60,5,0,0,11033,"2025-07-03 10:03:24"
25157948182,2025-07-01,CUSTOMER,FULL,1998-09-10,26,NULL,-1,300000,36,3,0,0,2578,"2025-07-03 10:03:19"
25157681580,2025-06-27,CUSTOMER,FULL,1980-06-10,45,NULL,-1,170000,12,1,0,0,1710,"2025-07-03 10:01:24"
25158217095,2025-07-02,CUSTOMER,FULL,1985-07-08,39,NULL,-1,410000,36,3,0,0,5971,"2025-07-03 10:01:18"
25158243343,2025-07-02,CUSTOMER,FULL,1996-03-15,29,1992-01-01,33,480000,57,5,0,0,6299,"2025-07-03 10:00:34"
25158214719,2025-07-02,CUSTOMER,FULL,1985-12-15,39,1990-08-06,34,620000,60,5,0,0,13440,"2025-07-03 09:59:30"
8800344882,2025-07-02,CUSTOMER,FULL,1984-01-25,41,NULL,-1,340000,48,4,0,0,6400,"2025-07-03 09:59:18"
25157813826,2025-06-29,CUSTOMER,FULL,1984-01-01,41,NULL,-1,2000000,60,5,0,0,48546,"2025-07-03 09:58:29"
25158069194,2025-07-02,CO-APPLICANT,FULL,1975-01-01,50,1996-06-30,29,545000,48,4,0,0,6039,"2025-07-03 09:58:08"
25158278579,2025-07-03,CUSTOMER,FULL,1988-01-01,37,1967-01-01,58,550000,60,5,0,0,10417,"2025-07-03 09:56:22"
25157606925,2025-06-20,CUSTOMER,FULL,1985-05-16,40,NULL,-1,138500,23,2,0,0,1672,"2025-07-03 09:56:03"
25157937129,2025-07-01,CO-APPLICANT,FULL,1965-01-01,60,1992-03-06,33,500000,60,5,0,0,7570,"2025-07-03 09:54:38"
8800225443,2025-06-21,CUSTOMER,FULL,1984-08-17,40,NULL,-1,280000,42,4,0,0,5270,"2025-07-03 09:54:14"
25158126623,2025-07-02,CO-APPLICANT,FULL,1979-05-25,46,2002-07-10,22,600000,60,5,0,0,7491,"2025-07-03 09:52:43"
25157666205,2025-06-25,CUSTOMER,FULL,2004-01-01,21,1968-01-01,57,696000,60,5,0,0,8690,"2025-07-03 09:52:25"
25157563883,2025-06-17,CUSTOMER,FULL,2002-03-01,23,1976-01-01,49,330000,48,4,0,0,3088,"2025-07-03 09:49:52"
25158279037,2025-07-03,CUSTOMER,FULL,1987-05-03,38,1991-01-01,34,980000,48,4,0,0,15277,"2025-07-03 09:49:03"
25157929457,2025-06-30,CUSTOMER,FULL,1996-08-01,28,NULL,-1,810000,60,5,0,0,9406,"2025-07-03 09:48:45"
25157669130,2025-06-25,CUSTOMER,FULL,2003-10-16,21,NULL,-1,400000,42,4,0,0,4258,"2025-07-03 09:46:38"
8800360087,2025-07-02,CUSTOMER,FULL,1992-08-15,32,NULL,-1,70000,36,3,0,0,695,"2025-07-03 09:46:15"
25158130587,2025-07-02,CUSTOMER,FULL,1995-07-15,29,NULL,-1,900000,72,6,0,0,13690,"2025-07-03 09:46:01"
25157929704,2025-06-30,CUSTOMER,FULL,1979-07-05,45,1980-01-01,45,340000,36,3,0,0,7226,"2025-07-03 09:45:18"
25158084154,2025-07-02,CUSTOMER,FULL,1992-01-10,33,1960-06-01,65,350000,47,4,0,0,4354,"2025-07-03 09:44:43"
25157933739,2025-06-30,CUSTOMER,FULL,1980-03-05,45,NULL,-1,990000,60,5,0,0,30619,"2025-07-03 09:44:14"
8800162925,2025-07-03,CUSTOMER,FULL,1996-02-05,29,1998-05-16,27,544000,60,5,0,0,7139,"2025-07-03 09:43:02"
25157835857,2025-06-29,CUSTOMER,FULL,1994-01-01,31,NULL,-1,157000,24,2,0,0,1186,"2025-07-03 09:42:05"
8800348864,2025-06-23,CUSTOMER,FULL,1999-07-20,25,NULL,-1,330000,48,4,0,0,3135,"2025-07-03 09:40:35"
25158078785,2025-07-02,CUSTOMER,FULL,1971-02-05,54,NULL,-1,580000,60,5,0,0,47621,"2025-07-03 09:38:42"
25158135373,2025-07-02,CUSTOMER,FULL,1986-10-02,38,1989-08-02,35,340000,60,5,0,0,6564,"2025-07-03 09:36:38"
25157690307,2025-06-27,CUSTOMER,FULL,1976-08-08,48,NULL,-1,290000,36,3,0,0,9086,"2025-07-03 09:35:59"
25157568410,2025-06-18,CUSTOMER,FULL,1994-01-21,31,NULL,-1,180000,18,2,0,0,1350,"2025-07-03 09:27:52"
25158163269,2025-07-02,CUSTOMER,FULL,1993-07-15,31,1967-01-01,58,450000,36,3,0,0,4312,"2025-07-03 09:27:35"
25157651980,2025-06-24,CUSTOMER,FULL,1977-01-09,48,2005-01-26,20,882000,60,5,0,0,40632,"2025-07-03 09:26:48"
25157947037,2025-07-01,CUSTOMER,FULL,1994-12-20,30,NULL,-1,800000,60,5,0,0,9601,"2025-07-03 09:25:24"
25158278593,2025-07-03,CUSTOMER,FULL,1988-12-22,36,NULL,0,880000,48,4,0,0,12389,"2025-07-03 09:25:02"
25158067648,2025-07-02,CUSTOMER,FULL,1992-10-23,32,NULL,-1,800000,60,5,0,0,10082,"2025-07-03 09:21:16"
25158068085,2025-07-02,CUSTOMER,FULL,1995-07-19,29,1960-01-01,65,578000,48,4,0,0,6405,"2025-07-03 09:20:47"
25157692114,2025-06-27,CUSTOMER,FULL,1992-01-01,33,1963-01-01,62,505000,48,4,0,0,6412,"2025-07-03 09:20:13"
25158138091,2025-07-02,CUSTOMER,FULL,1985-05-01,40,NULL,-1,1000000,60,5,0,0,23329,"2025-07-03 09:18:21"
8800102184,2025-06-07,CUSTOMER,FULL,1982-02-26,43,1980-06-10,44,1900000,59,5,0,0,55109,"2025-07-03 09:18:21"
25157933170,2025-06-30,CUSTOMER,FULL,1994-03-08,31,1973-01-01,52,640000,60,5,0,0,8919,"2025-07-03 09:17:39"
25158277257,2025-07-03,CUSTOMER,FULL,1989-01-01,36,1995-07-15,29,210000,30,3,0,0,2511,"2025-07-03 09:14:54"
25158136025,2025-07-02,CUSTOMER,FULL,2003-03-16,22,1981-01-01,44,320000,42,4,0,0,2972,"2025-07-03 09:14:18"
8800323963,2025-07-02,CUSTOMER,FULL,1970-03-02,55,NULL,-1,181000,36,3,0,0,10272,"2025-07-03 09:13:02"
25158131741,2025-07-02,CUSTOMER,FULL,1978-01-01,47,NULL,-1,130000,15,2,0,0,2350,"2025-07-03 09:12:34"
25158276554,2025-07-03,CUSTOMER,FULL,1989-01-01,36,NULL,0,460000,48,4,0,0,6834,"2025-07-03 09:12:24"
8800024425,2025-07-02,CUSTOMER,FULL,1984-05-03,41,1973-12-25,51,400000,60,5,0,0,9710,"2025-07-03 09:12:21"
25158070349,2025-07-02,CUSTOMER,FULL,1971-03-07,54,1978-01-12,47,410000,48,4,0,0,26435,"2025-07-03 09:10:50"
25157666259,2025-06-25,CUSTOMER,FULL,2001-01-05,24,NULL,-1,599000,44,4,0,0,6376,"2025-07-03 09:05:53"
25158067157,2025-07-02,CUSTOMER,FULL,1990-03-15,35,NULL,-1,310000,24,2,0,0,2650,"2025-07-03 09:05:39"
25157932751,2025-07-02,CUSTOMER,FULL,1996-01-29,29,1966-07-01,59,570000,58,5,0,0,7480,"2025-07-03 09:03:34"
8800358014,2025-06-30,CUSTOMER,FULL,1994-04-29,31,NULL,-1,1042000,36,3,0,0,9985,"2025-07-03 09:01:30"
25157669375,2025-06-25,CUSTOMER,FULL,2004-11-15,20,1969-01-01,56,1200000,60,5,0,0,12348,"2025-07-03 09:00:51"
25157626423,2025-06-22,CUSTOMER,FULL,1994-01-01,31,NULL,-1,150000,30,3,0,0,1438,"2025-07-03 09:00:23"
25158277503,2025-07-03,CUSTOMER,"PARTIAL TENURE",1976-05-10,49,NULL,0,505000,60,5,0,2,13897,"2025-07-03 09:00:20"
8800198993,2025-06-27,CUSTOMER,FULL,1998-08-09,26,1978-10-02,46,480000,48,4,0,0,5064,"2025-07-03 08:59:32"
8800368889,2025-07-03,CUSTOMER,FULL,1983-01-06,42,1981-01-01,44,350000,37,4,0,0,7761,"2025-07-03 08:56:33"
25157696252,2025-06-28,CUSTOMER,FULL,1999-05-18,26,NULL,-1,420000,47,4,0,0,4476,"2025-07-03 08:54:00"
8800019794,2025-07-03,CUSTOMER,FULL,1991-08-18,33,1981-08-03,43,200000,18,2,0,0,1580,"2025-07-03 08:53:35"
8800053361,2025-07-02,CUSTOMER,"PARTIAL TENURE",1976-01-01,49,1995-01-01,30,625000,59,5,0,2,17199,"2025-07-03 08:52:09"
25158108440,2025-07-02,CUSTOMER,FULL,1991-03-09,34,NULL,-1,510000,72,6,0,0,9491,"2025-07-03 08:51:48"
25158069357,2025-07-02,CUSTOMER,FULL,2003-04-04,22,1985-01-01,40,475000,48,4,0,0,5056,"2025-07-03 08:51:21"
25157682340,2025-06-27,CUSTOMER,FULL,1985-01-03,40,1987-01-01,38,300000,48,4,0,0,5268,"2025-07-03 08:51:13"
8800250384,2025-07-03,CUSTOMER,FULL,1998-02-21,27,1971-06-01,54,750000,30,3,0,0,6505,"2025-07-03 08:50:02"
25158277156,2025-07-03,CUSTOMER,FULL,1984-05-06,41,NULL,0,230000,24,2,0,0,2724,"2025-07-03 08:48:44"
8800398030,2025-07-03,CUSTOMER,FULL,1973-01-01,52,NULL,0,400000,42,4,0,0,23275,"2025-07-03 08:48:41"
25157931048,2025-06-30,CUSTOMER,FULL,2005-09-10,19,2001-05-11,24,800000,60,5,0,0,8072,"2025-07-03 08:48:40"
25158072124,2025-07-02,CUSTOMER,FULL,1999-08-09,25,NULL,-1,1540000,84,7,0,0,23024,"2025-07-03 08:48:33"
25157935365,2025-07-01,CUSTOMER,FULL,2004-06-14,21,NULL,-1,180000,36,3,0,0,1426,"2025-07-03 08:47:14"
8800319231,2025-07-03,CUSTOMER,FULL,1973-01-01,52,NULL,0,300000,24,2,0,0,11375,"2025-07-03 08:46:33"
25158129368,2025-07-02,CUSTOMER,FULL,1997-07-15,27,NULL,-1,400000,48,4,0,0,4296,"2025-07-03 08:46:12"
25157689319,2025-06-27,CUSTOMER,FULL,1997-06-12,28,NULL,-1,620000,60,5,0,0,7199,"2025-07-03 08:46:02"
25157691032,2025-06-27,CUSTOMER,FULL,1972-02-01,53,NULL,-1,370000,36,3,0,0,19298,"2025-07-03 08:45:00"
25158276684,2025-07-03,CO-APPLICANT,FULL,2000-01-01,25,1991-09-19,33,760000,59,5,0,0,11076,"2025-07-03 08:43:31"
25157690898,2025-06-27,CUSTOMER,FULL,1999-12-06,25,NULL,-1,273000,4,1,0,0,1112,"2025-07-03 08:42:45"
25157929555,2025-06-30,CUSTOMER,FULL,1993-01-01,32,1965-01-01,60,600000,60,5,0,0,7562,"2025-07-03 08:42:39"
8800164021,2025-07-02,CUSTOMER,FULL,1976-01-01,49,NULL,-1,400000,24,2,0,0,11008,"2025-07-03 08:40:09"
25158276980,2025-07-03,CUSTOMER,FULL,1993-12-20,31,NULL,0,460000,47,4,0,0,5325,"2025-07-03 08:39:37"
8800012932,2025-07-03,CUSTOMER,FULL,1990-07-04,34,NULL,0,450000,36,3,0,0,4875,"2025-07-03 08:39:04"
8800185361,2025-07-02,CUSTOMER,FULL,2001-11-02,23,1997-01-01,28,350000,42,4,0,0,3581,"2025-07-03 08:38:59"
25157950784,2025-07-01,CUSTOMER,FULL,1982-12-18,42,NULL,-1,1600000,84,7,0,0,56206,"2025-07-03 08:37:45"
25157687177,2025-06-27,CUSTOMER,FULL,1976-05-12,49,NULL,-1,330000,36,3,0,0,11363,"2025-07-03 08:36:02"
8800210629,2025-06-29,CUSTOMER,FULL,1997-06-20,28,1988-09-06,36,300000,48,4,0,0,3240,"2025-07-03 08:35:51"
8800032941,2025-06-23,CUSTOMER,FULL,1987-05-27,38,NULL,-1,950000,60,5,0,0,17342,"2025-07-03 08:33:32"
25158226395,2025-07-02,CUSTOMER,FULL,1990-01-01,35,1994-01-11,31,300000,48,4,0,0,3629,"2025-07-03 08:32:09"
25158149783,2025-07-02,CUSTOMER,FULL,1997-01-01,28,NULL,-1,400000,36,3,0,0,3489,"2025-07-03 08:31:59"
