APPLICATION_NUMBER,APPLICATION_DATE,CUSTOMER_TYPE,CALCULATION_TYPE,CUSTOMER_DOB,CUSTOMER_AGE,CO_APPLICANT_DOB,CO_APPLICANT_AGE,FINANCE_AMOUNT,TENURE_IN_MONTH,TENURE_IN_YEAR,PARTIAL_FINANCE_AMOUNT,PARTIAL_TENURE,PREMIUM,CREATED_ON
8800117275,2025-07-01,CUSTOMER,FULL,1985-02-04,40,NULL,-1,700000,60,5,0,0,16331,"2025-07-03 10:44:19"
25158041900,2025-07-02,CUSTOMER,FULL,2000-01-01,25,1978-01-01,47,318500,36,3,0,0,2613,"2025-07-03 10:44:04"
25157685526,2025-06-27,CUSTOMER,FULL,1993-01-01,32,NULL,-1,1015000,72,6,0,0,16277,"2025-07-03 10:43:57"
8800214089,2025-06-28,CUSTOMER,FULL,1993-02-01,32,2005-01-01,20,1030000,60,5,0,0,12981,"2025-07-03 10:43:40"
25157925803,2025-06-30,CUSTOMER,FULL,1998-01-11,27,1970-03-01,55,894000,84,7,0,0,14411,"2025-07-03 10:42:41"
8800221212,2025-07-03,CUSTOMER,FULL,1988-06-05,37,1964-01-01,61,570000,60,5,0,0,10796,"2025-07-03 10:42:41"
8800176747,2025-07-03,CUSTOMER,FULL,1984-01-01,41,NULL,0,500000,30,3,0,0,8373,"2025-07-03 10:42:23"
8800246903,2025-07-02,CUSTOMER,FULL,1998-07-21,26,2000-07-10,24,875000,60,5,0,0,9943,"2025-07-03 10:42:09"
25156827653,2025-06-03,CUSTOMER,FULL,1980-01-01,45,1980-01-01,45,650000,59,5,0,0,23386,"2025-07-03 10:41:41"
25158043135,2025-07-02,CUSTOMER,FULL,1997-03-10,28,NULL,-1,60000,12,1,0,0,442,"2025-07-03 10:40:13"
8800311765,2025-07-02,CUSTOMER,FULL,1992-01-15,33,NULL,-1,320000,36,3,0,0,3327,"2025-07-03 10:40:03"
25157929067,2025-06-30,CUSTOMER,FULL,2000-07-13,24,1972-01-01,53,980000,60,5,0,0,10547,"2025-07-03 10:39:29"
8800304777,2025-07-01,CUSTOMER,FULL,1990-01-01,35,1990-01-01,35,700000,60,5,0,0,11746,"2025-07-03 10:39:29"
25158280279,2025-07-03,CUSTOMER,FULL,1988-01-01,37,NULL,0,1390000,60,5,0,0,23997,"2025-07-03 10:38:45"
25158280258,2025-07-03,CUSTOMER,FULL,1986-04-10,39,NULL,0,500000,60,5,0,0,10367,"2025-07-03 10:38:36"
25158278865,2025-07-03,CUSTOMER,FULL,1988-01-01,37,NULL,0,371000,28,3,0,0,4694,"2025-07-03 10:38:30"
25158280036,2025-07-03,CUSTOMER,FULL,1992-12-27,32,1994-11-26,30,500000,60,5,0,0,6998,"2025-07-03 10:38:29"
8800166134,2025-07-02,CUSTOMER,FULL,1996-03-30,29,1969-01-01,56,1214000,60,5,0,0,14311,"2025-07-03 10:38:02"
25157850450,2025-06-29,CUSTOMER,FULL,1974-01-01,51,NULL,-1,250000,36,3,0,0,10305,"2025-07-03 10:37:48"
8800123588,2025-07-03,CUSTOMER,FULL,1994-06-02,31,NULL,0,110000,24,2,0,0,825,"2025-07-03 10:37:47"
25158279451,2025-07-03,CUSTOMER,FULL,2001-06-11,24,NULL,0,400000,60,5,0,0,4782,"2025-07-03 10:37:26"
25158037605,2025-07-02,CUSTOMER,FULL,1999-11-17,25,1975-05-01,50,750000,72,6,0,0,10762,"2025-07-03 10:37:04"
8800359777,2025-06-30,CUSTOMER,FULL,1990-01-01,35,NULL,-1,350000,24,2,0,0,2982,"2025-07-03 10:36:01"
